,winery,wine,year,rating,num_reviews,region,price,type,body,acidity,parker_score
983,Es Fangar,Lo Cortinelo.Lo Blanc,2017,4.4,58,Pla i Llevant,27.25,,,,
984,Cal Batllet - Celler Ripoll Sans,5 Partides Gratallops Vi de La Vila,2014,4.4,58,Priorato,49.6,Priorat Red,4.0,3.0,
985,Llopart,Cava Ex-Vite Gran Reserva Brut,2010,4.4,57,Cava,43.5,Cava,2.0,3.0,
986,Vega Sicilia,Valbuena 5o,1982,4.4,56,Ribera del Duero,225.0,Ribera Del Duero Red,5.0,3.0,
987,Portia,Summa Edicion Limitada,2015,4.4,56,Ribera del Duero,89.97,Ribera Del Duero Red,5.0,3.0,
988,Bodegas Mas Alta,Cirerets,2019,4.4,56,Priorato,37.9,Priorat Red,4.0,3.0,
989,Los Aguilares,Pago El Espino,2019,4.4,56,Sierras de Malaga,18.9,Red,4.0,3.0,
990,La Vicalanda,Gran Reserva,2015,4.4,55,Rioja,53.8,Rioja Red,4.0,3.0,
991,Vina Pedrosa,Perez Pascuas Gran Reserva Seleccion,2015,4.4,55,Ribera del Duero,55.25,Ribera Del Duero Red,5.0,3.0,
992,Ostatu,Gloria Rioja,2011,4.4,55,Rioja Alavesa,44.9,Rioja Red,4.0,3.0,
993,Finca Valpiedra,Petra de Valpiedra Garnacha,2017,4.4,55,Rioja,32.9,Grenache,5.0,3.0,
994,Vina Pomal,Alto de la Caseta,2015,4.4,54,Rioja,82.5,Rioja Red,4.0,3.0,
995,Recaredo,Serral del Vell Brut Nature,2015,4.4,54,Cava,33.78,Cava,2.0,3.0,
996,Tridente,Rejon Tempranillo,2017,4.4,54,Castilla y Leon,34.9,Tempranillo,4.0,2.0,
997,Vall Llach,Mas de la Rosa,2016,4.4,53,Priorato,367.39,Priorat Red,4.0,3.0,
998,Baigorri,Rioja B70,2014,4.4,52,Rioja,104.5,Rioja Red,4.0,3.0,
999,Matarromera,Gran Reserva,2014,4.4,52,Ribera del Duero,74.55,Ribera Del Duero Red,5.0,3.0,
1000,Vivaltus,Tinto,2016,4.4,52,Ribera del Duero,119.0,Ribera Del Duero Red,5.0,3.0,
1001,Comenge,Don Miguel,2016,4.4,51,Ribera del Duero,31.9239296995019,Ribera Del Duero Red,5.0,3.0,
1002,Collbaix Celler El Moli,Singular Negre,2015,4.4,51,Pla de Bages,27.35,Cabernet Sauvignon,4.0,3.0,
1003,Bodegas Celler Francisco Castillo - Clos Dominic,Vinyes Altes Porrera,2017,4.4,51,Priorato,33.0,Priorat Red,4.0,3.0,
1004,Martinez Lacuesta,Rioja Reserva Especial,1922,4.4,51,Rioja Alta,280.0,Rioja Red,4.0,3.0,
1005,Pujanza,Rioja Cisma,2014,4.4,50,Rioja,140.0,Rioja Red,4.0,3.0,
1006,Jesus Madrazo,Seleccion Rioja,2018,4.4,50,Rioja,32.0,Rioja Red,4.0,3.0,
1007,Allende,Martires Rioja,2015,4.4,50,Rioja,91.5,Rioja White,3.0,3.0,
1008,Llopart,Cava Original Brut (Espumos),2010,4.4,49,Cava,52.95,Cava,2.0,3.0,
1009,Albet i Noya,Marti Reserva Penedes,2015,4.4,49,Penedes,35.15,Red,4.0,3.0,
1010,La Rioja Alta,Vina Ardanza Reserva Seleccion Especial,2015,4.4,49,Rioja,23.0,Rioja Red,4.0,3.0,
1011,Juan Pinero,Oloroso 30 Years Old V.O.R.S,,4.4,48,Jerez Oloroso,37.9,Sherry,4.0,3.0,
1012,Olivier Riviere,Pozo Alto,2016,4.4,48,Rioja,119.95,Rioja Red,4.0,3.0,
1013,Bodegas Amaren,El Cristo de Samaniego,2017,4.4,47,Rioja Alavesa,42.9,Rioja Red,4.0,3.0,
1014,Bodegas Tierra,El Belisario,2016,4.4,47,Rioja,39.9,Tempranillo,4.0,2.0,
1015,Torre de Ona,Baron de Ona Rioja Reserva,1995,4.4,46,Rioja,50.0,Rioja Red,4.0,3.0,
1016,Clos Erasmus,Priorat,2017,4.4,45,Priorato,209.31,Priorat Red,4.0,3.0,
1017,Toro Albala,Don PX Seleccion,1968,4.4,45,Montilla-Moriles,165.0,Pedro Ximenez,5.0,1.0,
1018,Monte Real,Gran Reserva,1978,4.4,45,Rioja,97.0,Rioja Red,4.0,3.0,
1019,Do Ferreiro (Bodegas Gerardo Mendez),Cepas Vellas Rias Baixas Albarino,2020,4.4,44,Rias Baixas,26.5,Albarino,3.0,3.0,
1020,Legaris,La Aguilera,2016,4.4,44,Ribera del Duero,32.5,Ribera Del Duero Red,5.0,3.0,
1021,Bodega Contador (Benjamin Romeo),Pirata,2014,4.4,44,Rioja,194.0,Rioja White,3.0,3.0,
1022,Vinas del Vero,Blecua Somontano,2014,4.4,43,Somontano,74.95,Red,4.0,3.0,
1023,Territorio Luthier,Hispania,2018,4.4,43,Ribera del Duero,28.9,Ribera Del Duero Red,5.0,3.0,
1024,Martin Codax,Arousa,2019,4.4,44,Vino de Espana,18.99,Albarino,3.0,3.0,
1025,Vinedos Hermanos Hernaiz,Las Cenizas Tempranillo,2018,4.4,43,Rioja Alta,19.95,Rioja Red,4.0,3.0,
1026,Cims de Porrera,Solanes Priorat,2003,4.4,43,Priorato,38.66,Priorat Red,4.0,3.0,
1027,Artadi,Grandes Anadas Rioja,1994,4.4,43,Rioja,180.0,Rioja Red,4.0,3.0,
1028,Martinet,Cami Pesseroles,2017,4.4,42,Priorato,75.5,Priorat Red,4.0,3.0,
1029,Freixenet,Cava Cuvee De Prestige Trepat,2019,4.4,43,Cava,7.89,Cava,2.0,3.0,
1030,Azpilicueta,Felix Azpilicueta Coleccion Privada,2019,4.4,41,Rioja,18.0,Rioja Red,4.0,3.0,
1031,Gramona,Savinat Sauvignon Blanc,2019,4.4,41,Penedes,17.9,Sauvignon Blanc,3.0,3.0,
1032,Veronica Salgado,Capricho Crianza,2017,4.4,41,Ribera del Duero,15.4438025,Ribera Del Duero Red,5.0,3.0,
1033,Vinedos Hermanos Hernaiz,Finca La Emperatriz Vinedo Singular Tinto,2017,4.4,41,Rioja Alta,33.55,Rioja Red,4.0,3.0,
1034,Clos Galena,Galena,2017,4.4,41,Priorato,19.8,Priorat Red,4.0,3.0,
1035,Imperial,Rioja Reserva,1982,4.4,41,Rioja,145.0,Rioja Red,4.0,3.0,
1036,Osborne,Solera PAP Palo Cortado Rare Sherry,,4.4,41,Jerez-Xeres-Sherry,189.99,Sherry,4.0,3.0,
1037,Bodegas Imperiales - Abadia de San Quirce,Finca Helena,2015,4.4,40,Ribera del Duero,59.9,Ribera Del Duero Red,5.0,3.0,
1038,Marta Mate,Primordium,2012,4.4,40,Ribera del Duero,29.9,Ribera Del Duero Red,5.0,3.0,
1039,Albet i Noya,Marti Reserva Penedes,2016,4.4,39,Penedes,33.8,Red,4.0,3.0,
1040,Bodegas Mas Alta,La Solana Alta,2018,4.4,39,Priorato,43.5,,,,
1041,Venta Las Vacas,La Cuartilleja Reserva,2016,4.4,39,Ribera del Duero,39.9,Ribera Del Duero Red,5.0,3.0,
1042,Emilio Moro,Malleolus de Sanchomartin,2018,4.4,39,Ribera del Duero,119.35,Ribera Del Duero Red,5.0,3.0,
1043,Figuero,Noble,2015,4.4,38,Ribera del Duero,60.0,Ribera Del Duero Red,5.0,3.0,
1044,Baigorri,De Garage Rioja,2005,4.4,37,Rioja,40.0,Rioja Red,4.0,3.0,
1045,Pago Calzadilla,Gran Calzadilla,2010,4.4,37,Pago Calzadilla,34.75,Red,4.0,3.0,
1046,Vivanco,4 Varietales Coleccion Rioja,2017,4.4,37,Rioja,24.0,Rioja Red,4.0,3.0,
1047,Fernandez Gao,Oloroso,,4.4,38,Jerez-Xeres-Sherry,59.9,Sherry,4.0,3.0,
1048,Allende,Aurus,1998,4.4,37,Rioja,245.25,Rioja Red,4.0,3.0,
1049,Toro Albala,Don PX Pedro Ximenez,1973,4.4,37,Montilla-Moriles,109.76,Pedro Ximenez,5.0,1.0,
1050,Museum,Numerus Clausus,2012,4.4,37,Cigales,59.9,Tempranillo,4.0,2.0,
1051,Pujanza,Rioja Cisma,2012,4.4,37,Rioja,130.5,Rioja Red,4.0,3.0,
1052,Vinicola Real,200 Monges Rioja Seleccion Especial Reserva Blanco,2008,4.4,36,Rioja,61.5,Rioja White,3.0,3.0,
1053,Toro Albala,Don PX Gran Reserva,1994,4.4,36,Montilla-Moriles,33.23,Pedro Ximenez,5.0,1.0,
1054,Castillo Perelada,Emporda Aires de Garbet,2018,4.4,36,Emporda,38.5,Red,4.0,3.0,
1055,Marques de Riscal,Rioja Gran Reserva,1996,4.4,36,Rioja,38.12,Rioja Red,4.0,3.0,
1056,Harveys,30 Years V.O.R.S Very Old Palo Cortado Blend Medium Sherry,,4.4,35,Jerez Palo Cortado,65.0,Sherry,4.0,3.0,
1057,Farina,Campus Gothorum,2017,4.4,35,Toro,41.0,Toro Red,5.0,3.0,
1058,Tinto Pesquera,Gran Reserva,2015,4.4,35,Ribera del Duero,74.5,Ribera Del Duero Red,5.0,3.0,
1059,Enric Soler,Nun Vinya dels Taus,2019,4.4,35,Penedes,45.39,,,,
1060,Galindo San Millan,La Pizca,2016,4.4,35,Toro,26.0,Red,4.0,3.0,
1061,Equipo Navazos,La Bota 90 de Manzanilla Pasada,,4.4,35,Manzanilla,39.75,Sherry,4.0,3.0,
1062,Legaris,Moradillo de Roa,2017,4.4,35,Ribera del Duero,29.89,Ribera Del Duero Red,5.0,3.0,
1063,Bodegas Casa Primicia,Cofradia,2014,4.4,34,Rioja,38.0,Rioja Red,4.0,3.0,
1064,Pujanza,Rioja Cisma,2009,4.4,34,Rioja,132.4,Rioja Red,4.0,3.0,
1065,Bodegas Celler Francisco Castillo - Clos Dominic,Vinyes Altes Porrera,2009,4.4,34,Priorato,69.0,Priorat Red,4.0,3.0,
1066,Castell Miquel,Stairway To Heaven Rosado,2020,4.4,34,Mallorca,13.99,,,,
1067,Barco del Corneta,La Silleria,2017,4.4,34,Castilla y Leon,24.5,,,,
1068,Joan d'Anguera,Planella,2020,4.4,34,Montsant,16.25,Montsant Red,4.0,3.0,
1069,Martin Codax,Gallaecia Rias Baixes Albarino,2017,4.4,34,Rias Baixas,39.95,Albarino,3.0,3.0,
1070,Tinto Pesquera,Gran Reserva,1994,4.4,34,Ribera del Duero,138.0,Ribera Del Duero Red,5.0,3.0,
1071,Xaloc,Monada,2013,4.4,33,Mallorca,35.4,Red,4.0,3.0,
