winery,wine,year,rating,num_review,country,region,price,type,body,acidity
Ayuso,Estola Reserva,2016,"3,6",563,España,La Mancha,"4,90",Vino tinto,,
Viña Albina,Semidulce,2015,"3,8",36,España,Rioja,"4,90",Vino blanco,,
Xènius,Cava Semi-Seco,3670,"3,6",24,España,Cava,"4,95",Vino espumoso,,
Carlos Serres,Eneldo Crianza,2018,"3,8",79,España,Rioja,"4,95",Vino tinto,,
Honoro Vera,Organic Monastrell,2018,"3,7",960,España,Jumilla,"4,95",Vino tinto,,
Reymos,Selección Brut,1806,"3,6",285,España,Valencia,"4,95",Vino espumoso,,
Arnegui,Tempranillo Rioja,2018,"3,6",257,España,Rioja,"4,95",Vino tinto,,
Félix Solís,Casa Albali Gran Selección,2019,"3,6",100,España,Valdepeñas,"4,95",Vino tinto,,
Pacheco,Blanco,2019,"3,6",19,España,Jumilla,"4,95",Vino blanco,,
Contreras Ruiz,Clavellina Rosado,2021,"3,8",13,España,Condado de Huelva,"4,95",Vino rosado,,
Codorníu,Impulso Semidulce,2020,"3,9",25,España,Rioja,"4,95",Vino blanco,,
Freixenet,Mia Blanco,2021,"3,6",14,España,Penedès,"4,95",Vino blanco,,
La Purisima,Blanco,2020,"3,8",38,España,Yecla,"4,95",Vino blanco,,
Freixenet,Mia Blanco,2020,"3,6",208,España,Penedès,"4,99",Vino blanco,,
Carlos Serres,Rioja Tempranillo,2021,"3,6",39,España,Rioja,"4,99",Vino tinto,,
Finca Manzanos,Garnacha,2019,"3,6",63,España,Rioja,"4,99",Vino tinto,,
Ilurce,Garnacha Rosé,2021,"3,9",11,España,Rioja,,Vino rosado,,
Hombre Pez,Verdejo,2021,"3,9",64,España,Rueda,"4,99",Vino blanco,,
Félix Solís,The Guv’nor,4213,"4,0",14728,España,Valdepeñas,"4,99",Vino tinto,,
Bodegas Piqueras,El Abuelo Verdejo - Sauvignon Blanc,2021,"4,0",65,España,Almansa,,Vino blanco,,
Los Hermanos Manzanos,Crianza,2018,"3,8",63,España,Rioja,"4,99",Vino tinto,,
Freixenet,Mia Rosado,2019,"3,6",140,España,Castilla,"4,99",Vino rosado,,
El Angosto,Soldadito Marinero,2021,"3,9",34,España,Valencia,5,Vino blanco,,
Bodegas Aragonesas,Coto De Hayas Crianza,2018,"3,8",166,España,Campo de Borja,"5,05",Vino tinto,,
Freixenet,Mia Moscato,3290,"3,8",4427,España,Cataluña,"5,08",Vino espumoso,,
De Muller,Solimar Tinto,2020,"3,7",47,España,Tarragona,"5,10",Vino tinto,,
Bodega Pirineos,Montesierra Crianza,2017,"3,6",57,España,Somontano,"5,10",Vino tinto,,
Marina Alta,Gran Selección Blanco,2021,"3,9",383,España,Alicante,"5,10",Vino blanco,,
Bodegas la Eralta,Hacienda El Olmo Crianza,2018,"3,9",279,España,Rioja,"5,12",Vino tinto,,
Solar Viejo,Crianza,2015,"3,6",869,España,Rioja,"5,13",Vino tinto,,
Zuazo Gaston,Vendimia Seleccionada,2020,"3,6",18,España,Rioja,"5,15",Vino tinto,,
Oliveda,Món Perdut Blanc,2021,"3,6",27,España,Empordà,"5,17",Vino blanco,,
Finca La Estacada,Ocho y Medio Tinto Velasco,2020,"3,7",22,España,Castilla,"5,17",Vino tinto,,
Monteabellon,A Cappela Verdejo,2021,"3,6",16,España,Rueda,"5,18",Vino blanco,,
Bodegas Valdemar,Conde de Valdemar Tempranillo,2020,"3,6",92,España,Rioja,"5,18",Vino tinto,,
Bodegas Valdemar,Conde de Valdemar Blanco,2021,"3,6",24,España,Rioja,"5,18",Vino blanco,,
Freixa Rigau,Familia Oliveda Cava Brut Rosado,7107,"3,8",214,España,Cava,"5,19",Vino espumoso,,
Particular,Chardonnay - Moscatel de Alejandría,2021,"3,6",19,España,Cariñena,"5,20",Vino blanco,,
Pago Finca Élez,Flor de Sabina,2019,"3,9",10,España,Finca Élez,"5,20",Vino tinto,,
Lacrima Baccus,Mar & Cel Blanc de Blancs,2020,"3,7",24,España,Penedès,"5,20",Vino blanco,,
Castillo Perelada,Empordà Jardins Blanc,2021,"3,7",42,España,Empordà,"5,20",Vino blanco,,
Diez Siglos,Nékora Verdejo,2021,"3,7",38,España,Rueda,"5,20",Vino blanco,,
Castillo Perelada,Empordà Jardins Blanc,2020,"3,6",80,España,Empordà,"5,20",Vino blanco,,
Casteller,Cava Brut Rosado,0325,"3,8",23,España,Cataluña,"5,20",Vino espumoso,,
Bach,Chardonnay,2021,"3,7",10,España,Cataluña,"5,22",Vino blanco,,
Laudum,Roble Monastrell - Syrah,2020,"3,6",47,España,Valencia,"5,23",Vino tinto,,
Bodegas Piqueras,Valcanto Monastrell,2016,"3,8",94,España,Almansa,"5,25",Vino tinto,,
Bodegas Piqueras,Valcanto Syrah,2018,"3,7",129,España,Almansa,"5,25",Vino tinto,,
Bodegas Franco-Españolas,Rioja Bordón Rosado,2019,"3,7",78,España,Rioja,"5,25",Vino rosado,,
Volver,Tarima Rosado,2021,"4,0",14,España,Alicante,"5,25",Vino rosado,,
Gran Feudo,Crianza,2017,"3,7",303,España,Navarra,"5,25",Vino tinto,,
Félix Solís,Viña Albali Gran Selección Valdepeñas,2020,"3,6",45,España,Valdepeñas,"5,25",Vino tinto,,
Honoro Vera,Garnacha,2020,"3,8",712,España,Calatayud,"5,25",Vino tinto,,
Atalaya,Laya,2021,"3,8",54,España,Almansa,"5,25",Vino tinto,,
Cuatro Rayas,Green & Social Organic Verdejo,2020,"3,8",150,España,Rueda,"5,25",Vino blanco,,
Bodega Sommos,Merlot - Cabernet Roble,2020,"3,7",327,España,Somontano,"5,30",Vino tinto,,
